,Name,Relevance,Year,Authors,Journal,"Categories
(e.g., SLO, ILO, Decision rule, etc.)",Key ideas,Hyperlink
22,A Multi-Stage Collaborative Optimization Operation Method for Distribution-Microgrid for Reliability Improvement,5,2024,H Xu et al.,IEEE Xplore,"disaster, Energy storage, Multistage","Multistage stage model: first stage places MESS, second stage certain corrective measures are taken and MES distribute power, third stage construction teams restore grid. Formulated as bi-linear MILP.",https://ieeexplore.ieee.org/abstract/document/10956062/
23,A novel robust energy storage planning method for grids with wind power integration considering the impact of hurricanes,10,2025,H Yang et al.,IEEE Xplore,"disaster, Energy storage, Multistage","Robust multistage model, considers uncertainty in power generation from sources like wind. They develop a column and row generation algorithm.",https://ieeexplore.ieee.org/abstract/document/10844010/
24,Multi-stage expansion planning of energy storage integrated soft open points considering tie-line reconstruction,85,2022,P Li et al.,Protection and Control of Modern Power Systems,"disaster, Energy storage, Multistage",,https://link.springer.com/article/10.1186/s41601-022-00268-5
25,A multi-stage coordinated resilience enhancement strategy for distribution networks considering voltage quality,5,2025,W Tang et al.,International Journal of Electrical Power & Energy Systems,"disaster, Energy storage, Multistage","Develops a multistage model, where the first stage positions the MESS, and second and third stage coordinate restoration efforts to minimize loadshed and reduce voltage angle",https://www.sciencedirect.com/science/article/pii/S0142061525008609
26,Enhancing resilience and sustainability of distribution networks by emergency operation of a truck-mounted mobile battery energy storage fleet,5,2023,H Saboori,"Sustainable Energy, Grids and Networks","disaster, Energy storage, Multistage","Considers multistage model to minimize distribution cost and loadshed, using MESS. Considers fluctuations in production from energy sources and disasters.",https://www.sciencedirect.com/science/article/pii/S2352467723000450
27,Power System Transition Planning: An Industry-Aligned Framework for Long-Term Optimization,5,2025,Ahmed Al-Shafei et al,Open access,"disaster, Energy storage, SDDP",Proposes a multistage model for longterm planning with regards to transitioning from fossil fuels to renewable energy sources. Uses SDDP to plan around uncertainty,https://arxiv.org/abs/2505.01331
28,On the Applications of Stochastic Dual Dynamic Programming,95,2023,BK Seranilla & N Löhndorf,Open access,"disaster, Energy storage, SDDP",Survey on SDDP applications.,https://orbilu.uni.lu/handle/10993/58728
29,Multistage operation for distributed solar and energy storage system,5,2023,Y Li et al.,IEEE Xplore,"disaster, Energy storage, SDDP",Multistage model using battery storage to generate income from time arbitrage,https://ieeexplore.ieee.org/abstract/document/10142108/
30,State-of-the-art review on energy sharing and trading of resilient multi microgrids,95,2024,A Kumar et al.,iScience,"disaster, Energy storage, SDDP",Proposes the problem where many independent microgrids (eg. households with battery and solar) form together to coordinate their energy in and outflows. Challenge comes from significant correlation in energy generation,https://www.cell.com/iscience/fulltext/S2589-0042(24)00771-5
31,A two-timescale operation strategy for battery storage in joint frequency and energy markets,4,2023,Q Ma & W Wei & S Mei,IEEE Xplore,"disaster, Energy storage, rolling horizon","Proposes a rolling horizon framework in energy trading, using batteries to perform time arbitrage to maximize revenue",https://ieeexplore.ieee.org/abstract/document/10286401/
32,Certainty through uncertainty: Stochastic optimization of grid-integrated large-scale energy storage in Germany,20,2023,LKK Maia & A Ochoa Bique & E Zondervan,Physical Sciences Review,"disaster, Energy storage, rolling horizon",Proposes a model for energy transition under uncertain generation capacity,https://www.degruyterbrill.com/document/doi/10.1515/psr-2020-0051/html
33,Routing and scheduling of smart mobile power banks for mobile charging and vehicle-to-grid services,5,2025,Y Wan et al.,IEEE Xplore,"disaster, Energy storage, rolling horizon",Proposes a model to optimally route MESS to where is most nedded,https://ieeexplore.ieee.org/abstract/document/10855498/
34,Rolling Horizon Robust Real-Time Economic Dispatch with Multi-Stage Dynamic Modeling,5,2023,L Wang et al.,Mathematics,"disaster, Multistage, rolling horizon","Proposes a multistage robust model for economic dispatch in power systems, with a rolling horizon. Develops a new ""Robust dual dynamic program"" method.",https://www.mdpi.com/2227-7390/11/11/2557
35,A Two-Stage Robust Approach for Resilient Unit Commitment With Rail-Based Mobile Energy Storage Under Diffusional Uncertainties,5,2024,X Yang et al.,IEEE Xplore,"disaster, Multistage, rolling horizon",Proposes a robust two stage model to minimize the worst-case operational cost of a rail network under the risk of hurricanes.,https://ieeexplore.ieee.org/abstract/document/10804602/
36,Microgrids and resilience: A review,10,2022,M Hamidieh & M Ghassemi,IEEE Xplore,"disaster, Multistage, rolling horizon","Review of different techniques to increase the resilience of microgrids under different kinds of problems (optimal formation, optimal scheduling and allocation)",https://ieeexplore.ieee.org/abstract/document/9908557/
37,Data-Driven Stochastic-Robust Planning for Resilient Hydrogen-Electricity System with Progressive Hedging Decoupling,5,2024,Z Wen et al.,IEEE Xplore,"disaster, Multistage, rolling horizon","Uses multistage robust model to optimize against typhoons, using hydrogen as energy storage. First stage determines the ""planning strategy"", second stages identifies worst case scenario, and third stages optimally plans against this worst case scenario.",https://ieeexplore.ieee.org/abstract/document/10805565/
38,A Multi Stage DRO-SDDP Approach for Planning Multi-Type Energy Storage Systems and Flexible Resources in High-Penetration Renewable Power Systems,5,2025,J Feng et al.,IEEE Xplore,"disaster, Energy storage, Multistage, SDDP","Uses Energy storage systems (battery, pumped hydro, etc.) to smooth out the intra-day generation curve. Uses SDDP to optimize the planning of the grid, based on current uncertainty in production",https://ieeexplore.ieee.org/abstract/document/10918770/
39,Dual stochastic dual dynamic programming for multi-stage economic dispatch with renewable energy and thermal energy storage,5,2023,X Zhang et al.,IEEE Xplore,"disaster, Energy storage, Multistage, SDDP","Uses a multistage model, solved with SDDP, to optimize the economic cost of dispatching energy in a power grid, using thermal energy sources",https://ieeexplore.ieee.org/abstract/document/10164231/
40,Security-Constrained Multi-Stage Robust Dynamic Economic Dispatch with Bulk Storage,95,2025,L Dai et al.,Energies,"disaster, Energy storage, Multistage, SDDP",Proposes multistage robust model to optimize the economic dispatch against uncertain production and N-1 contigencies. Uses Benders decomposition to solve N-1 contigencies.,https://www.mdpi.com/1996-1073/18/5/1073
41,A multi-stage risk-averse planning approach for multi-type ESSs considering Markov transition of persistent low output scenario,5,2025,J Feng & Z Hu,CSEE Journal of Power and Energy Systems,"disaster, Energy storage, Multistage, SDDP","Proposes a multistage model to plan against the worst case scenario power generation of renewable energy systems (eg. long periods of low generation), using a Markov process",https://ieeexplore.ieee.org/abstract/document/11134735/
42,Multi-Stage Stochastic Programming for Disaster Relief Logistics Under Forecast Uncertainty,98,2025,S Bhattarai,Open access,"disaster, Energy storage, Multistage, SDDP","Thesis on disaster relief under uncertainty. Showcases inventory and evacuation management during hurricanes, using SDDP and a rolling horizon framework.",https://open.clemson.edu/all_dissertations/4070/
43,Energy Production and Storage Investments and Operation Planning Involving Variable Renewable Energy Sources A Two-stage Stochastic Optimization Model with Rolling Time Horizon and Random Stopping Time,98,2023,Y Ermoliev et al.,Modern Optimization Methods for Decision Making Under Risk and Uncertainty,"disaster, Energy storage, Multistage, rolling horizon",Proposes a multistage model to optimize energy production and allocation against worst case extreme weather events,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003260196-13/energy-production-storage-investments-operation-planning-involving-variable-renewable-energy-sources-yuri-ermoliev-nadejda-komendantova-tatiana-ermolieva
44,Multi-time-step rolling optimization strategy for post-disaster emergency recovery in distribution system based on model predictive control,5,2022,H Wan et al.,CSEE Journal of Power and Energy Systems,"disaster, Energy storage, Multistage, rolling horizon","Proposes multistage rolling horizon framework in disaster recovery. Models against repair time, loadshed, and uncertain production, and optimizes expected economic loss due to loadshed",https://ieeexplore.ieee.org/abstract/document/9917421/
45,A resilience-oriented multi-stage adaptive distribution system planning considering multiple extreme weather events,4,2023,S Wang & R Bo,IEEE Xplore,"disaster, Energy storage, Multistage, rolling horizon",,https://ieeexplore.ieee.org/abstract/document/10012128/
46,Towards Resilient Self-Proactive Distribution Grids Against Wildfires: A Dual Rolling Horizon-based Framework,5,2024,AA Shalaby et al.,IEEE Xplore,"disaster, Energy storage, Multistage, rolling horizon",Multistage rolling horizon framework for restoration of power grid after a wildfire,https://ieeexplore.ieee.org/abstract/document/10787395/
47,A multi-horizon stochastic programming model for long-term disaster housing logistics planning,4,2026,SY Chen & Y Song,Computational Management Science,"disaster, Energy storage, Multistage, rolling horizon",Proposes data-driven multi-horizon stochastic program for housing demand under extreme weather. Hedfes against short-term uncertainty and long-term logistics planning,https://link.springer.com/article/10.1007/s10287-025-00553-2
48,Resilient Preventive Scheduling for Hydrogen-Based Integrated Energy Systems Considering Impacts of Natural Disasters,95,2025,L Sheng et al.,Energies,"disaster, Energy storage, Multistage, rolling horizon",,https://www.mdpi.com/1996-1073/18/23/6091
49,Optimal scheduling of a renewable energy-based park power system: a novel hybrid SDDP/MPC approach,5,2024,Q Lei et al.,International Journal of Electrical Power & Energy Systems,"disaster, Energy storage, SDDP, rolling horizon",Uses model predictive control to optimize power scheduling for a power system. ,https://www.sciencedirect.com/science/article/pii/S0142061524001133
50,Markov Chain–Based Policies for Multistage Stochastic Integer Linear Programming with an Application to Disaster Relief Logistics,85,2025,M Castro & M Bodur & Y Song,Manufactuing & Service Operations Management,"disaster, Multistage, SDDP, rolling horizon","Proposes a markov chain approximation to more efficiently solve Mixed State ILP, creating a 2 stage LDR",https://pubsonline.informs.org/doi/abs/10.1287/msom.2023.0658
51,Multistage stochastic programming with a random number of stages: Applications in hurricane disaster relief logistics planning,98,2025,M Siddig & Y Song,European Journal of Operational Research,"disaster, Multistage, SDDP, rolling horizon","Proposes a logistics planning problem, where one needs to meet demand for relief items under a hurricane scenario. Considers hurricane's position as a markov chain. Novelty comes from addressing the fact that there is a random number of stages due to uncertain landing time.",https://arxiv.org/abs/2201.10678
52,Multi-objective rolling horizon personnel routing and scheduling approach for natural disasters,95,2022,İ TARHAN et al.,Transporation Research,"disaster, Multistage, SDDP, rolling horizon",,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4212606
53,Resilience enhancement for distribution system with multiple non-anticipative uncertainties based on multi-stage dynamic programming,5,2024,H Xiong et al.,ieeexplore.ieee.org,"disaster, Multistage, SDDP, rolling horizon",Proposes multi-period DRO program to optimize against extreme weather events.,https://ieeexplore.ieee.org/abstract/document/10418179/
